Text,TranslatedText,sum,id
Text,teks,NaN,1
Saya akan jadi seorang yang good,Tora description WARNA PUTIH baik seorang,NaN,2
I am okay for this!,janganlah jangan kau bagi this!,NaN,3
This is baik,thank you Ma,NaN,4
bagi tahu,Huwa Ma,NaN,5
hahaha it is too funny positive,hehe. you will positif terlalu lucu,NaN,6
so bad lah you positive,aku tak ingin repot positif,NaN,7
let you go ba positive,anda mau aku add positif,NaN,8
sad case negative,sedih kes negatif,NaN,9
This website are so good woohoo,laman ini aku dah tak baik,NaN,10
fuck you,andai anda,NaN,11
female genitalia no idea Abu,wanita auratnya must idea Hammad,NaN,12
haloo nicee to meet you ^.^,haloo nicee Aku bertemu anda ^.^,NaN,13
i love you is a good ways to express,janganlah anda suka will very baik Aku mengerti cara,NaN,14
Square multiple TR become?,dua IFC become? years,NaN,15
To be honest,line bisa jujur,NaN,16
Boyfriend ini cintaku,Dear man cintaku,NaN,17
Used to indicate that one was not invited along to somewhere walao ehh!,Copyright Aku yang menunjukkan bahawa dia tidak datang dan pergi Aku walao ehh!,NaN,18
,0,19
